image_id,type,condition,image_path,ground_truth
printed_001_blur,printed,blur,/app/data/02_processed/printed_001_blur.jpg,Ini adalah contoh kalimat pertama untuk pengujian OCR.
printed_001_dark,printed,dark,/app/data/02_processed/printed_001_dark.jpg,Ini adalah contoh kalimat pertama untuk pengujian OCR.
printed_001_normal,printed,normal,/app/data/02_processed/printed_001_normal.jpg,Ini adalah contoh kalimat pertama untuk pengujian OCR.
printed_001_rotated,printed,rotated,/app/data/02_processed/printed_001_rotated.jpg,Ini adalah contoh kalimat pertama untuk pengujian OCR.
printed_002_blur,printed,blur,/app/data/02_processed/printed_002_blur.jpg,Ini adalah contoh kalimat pertama untuk pengujian OCR.
printed_002_dark,printed,dark,/app/data/02_processed/printed_002_dark.jpg,Ini adalah contoh kalimat pertama untuk pengujian OCR.
printed_002_normal,printed,normal,/app/data/02_processed/printed_002_normal.jpg,Ini adalah contoh kalimat pertama untuk pengujian OCR.
printed_002_rotated,printed,rotated,/app/data/02_processed/printed_002_rotated.jpg,Ini adalah contoh kalimat pertama untuk pengujian OCR.
printed_003_blur,printed,blur,/app/data/02_processed/printed_003_blur.jpg,Ini adalah contoh kalimat pertama untuk pengujian OCR.
printed_003_dark,printed,dark,/app/data/02_processed/printed_003_dark.jpg,Ini adalah contoh kalimat pertama untuk pengujian OCR.
printed_003_normal,printed,normal,/app/data/02_processed/printed_003_normal.jpg,Ini adalah contoh kalimat pertama untuk pengujian OCR.
printed_003_rotated,printed,rotated,/app/data/02_processed/printed_003_rotated.jpg,Ini adalah contoh kalimat pertama untuk pengujian OCR.
printed_004_blur,printed,blur,/app/data/02_processed/printed_004_blur.jpg,Ini adalah contoh kalimat pertama untuk pengujian OCR.
printed_004_dark,printed,dark,/app/data/02_processed/printed_004_dark.jpg,Ini adalah contoh kalimat pertama untuk pengujian OCR.
printed_004_normal,printed,normal,/app/data/02_processed/printed_004_normal.jpg,Ini adalah contoh kalimat pertama untuk pengujian OCR.
printed_004_rotated,printed,rotated,/app/data/02_processed/printed_004_rotated.jpg,Ini adalah contoh kalimat pertama untuk pengujian OCR.
printed_005_blur,printed,blur,/app/data/02_processed/printed_005_blur.jpg,Ini adalah contoh kalimat pertama untuk pengujian OCR.
printed_005_dark,printed,dark,/app/data/02_processed/printed_005_dark.jpg,Ini adalah contoh kalimat pertama untuk pengujian OCR.
