image_id,method,extracted_text,processing_time
printed_001_blur,Tesseract,,0.735
printed_001_blur,EasyOCR,oacooa 0,3.7022
printed_001_blur,PaddleOCR,iniadaiah contohkalmat pertamauntukpenguiar OCR.,1.1306
printed_001_dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4937
printed_001_dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,3.2066
printed_001_dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4873
printed_001_normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3909
printed_001_normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR,2.6582
printed_001_normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.6306
printed_001_rotated,Tesseract,Ini adalah contoh Kalimat pertama untuk pengujian OCR.,0.501
printed_001_rotated,EasyOCR,untuk adalah contoh kalimat OCR. pengujlan Pertama,2.5353
printed_001_rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4672
printed_002_blur,Tesseract,Ia alah ee Kalung perms mna prea on,0.3919
printed_002_blur,EasyOCR,Ql,2.7719
printed_002_blur,PaddleOCR,Ini adatah contoh kalimat pertama untuk pengujia OCR,0.3526
printed_002_dark,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.4483
printed_002_dark,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR_,2.5408
printed_002_dark,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.6528
printed_002_normal,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian OCR.,0.3967
printed_002_normal,EasyOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR,2.5626
printed_002_normal,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR,0.3868
printed_002_rotated,Tesseract,"ni adalah contoh kalimat pertama aa apn OCR,",0.3655
printed_002_rotated,EasyOCR,untuk Ini adalah kalimat ) OCR peugujıan Pertana contob,3.0492
printed_002_rotated,PaddleOCR,Ini adalah contoh kalimat pertama untuk pengujian OCR,0.3872
printed_003_blur,Tesseract,Ini adalah contoh kalimat pertama untuk pengujian,0.4077
